GameId,Away,Home,Division,Conference,Week,Time,Primetime,International
1,Bengals,Ravens,TRUE,TRUE,,,,
2,Browns,Ravens,TRUE,TRUE,,,,
3,Steelers,Ravens,TRUE,TRUE,,,,
4,Jaguars,Ravens,FALSE,TRUE,,,,
5,Titans,Ravens,FALSE,TRUE,,,,
6,Saints,Ravens,FALSE,FALSE,,,,
7,Buccaneers,Ravens,FALSE,FALSE,,,,
8,Chargers,Ravens,FALSE,TRUE,,,,
9,Browns,Bengals,TRUE,TRUE,,,,
10,Ravens,Bengals,TRUE,TRUE,,,,
11,Steelers,Bengals,TRUE,TRUE,,,,
12,Jaguars,Bengals,FALSE,TRUE,,,,
13,Titans,Bengals,FALSE,TRUE,,,,
14,Saints,Bengals,FALSE,FALSE,,,,
15,Buccaneers,Bengals,FALSE,FALSE,,,,
16,Chiefs,Bengals,FALSE,TRUE,,,,
17,Bengals,Browns,TRUE,TRUE,,,,
18,Ravens,Browns,TRUE,TRUE,,,,
19,Steelers,Browns,TRUE,TRUE,,,,
20,Texans,Browns,FALSE,TRUE,,,,
21,Colts,Browns,FALSE,TRUE,,,,
22,Panthers,Browns,FALSE,FALSE,,,,
23,Falcons,Browns,FALSE,FALSE,,,,
24,Raiders,Browns,FALSE,TRUE,,,,
25,Bengals,Steelers,TRUE,TRUE,,,,
26,Browns,Steelers,TRUE,TRUE,,,,
27,Ravens,Steelers,TRUE,TRUE,,,,
28,Texans,Steelers,FALSE,TRUE,,,,
29,Colts,Steelers,FALSE,TRUE,,,,
30,Panthers,Steelers,FALSE,FALSE,,,,
31,Falcons,Steelers,FALSE,FALSE,,,,
32,Broncos,Steelers,FALSE,TRUE,,,,
33,Bills,Patriots,TRUE,TRUE,,,,
34,Dolphins,Patriots,TRUE,TRUE,,,,
35,Jets,Patriots,TRUE,TRUE,,,,
36,Broncos,Patriots,FALSE,TRUE,,,,
37,Raiders,Patriots,FALSE,TRUE,,,,
38,Packers,Patriots,FALSE,FALSE,,,,
39,Vikings,Patriots,FALSE,FALSE,,,,
40,Steelers,Patriots,FALSE,TRUE,,,,
41,Dolphins,Bills,TRUE,TRUE,,,,
42,Jets,Bills,TRUE,TRUE,,,,
43,Patriots,Bills,TRUE,TRUE,,,,
44,Chiefs,Bills,FALSE,TRUE,,,,
45,Chargers,Bills,FALSE,TRUE,,,,
46,Bears,Bills,FALSE,FALSE,,,,
47,Lions,Bills,FALSE,FALSE,,,,
48,Ravens,Bills,FALSE,TRUE,,,,
49,Bills,Dolphins,TRUE,TRUE,,,,
50,Jets,Dolphins,TRUE,TRUE,,,,
51,Patriots,Dolphins,TRUE,TRUE,,,,
52,Chiefs,Dolphins,FALSE,TRUE,,,,
53,Chargers,Dolphins,FALSE,TRUE,,,,
54,Bears,Dolphins,FALSE,FALSE,,,,
55,Lions,Dolphins,FALSE,FALSE,,,,
56,Bengals,Dolphins,FALSE,TRUE,,,,
57,Bills,Jets,TRUE,TRUE,,,,
58,Dolphins,Jets,TRUE,TRUE,,,,
59,Patriots,Jets,TRUE,TRUE,,,,
60,Broncos,Jets,FALSE,TRUE,,,,
61,Raiders,Jets,FALSE,TRUE,,,,
62,Packers,Jets,FALSE,FALSE,,,,
63,Vikings,Jets,FALSE,FALSE,,,,
64,Browns,Jets,FALSE,TRUE,,,,
65,Colts,Jaguars,TRUE,TRUE,,,,
66,Texans,Jaguars,TRUE,TRUE,,,,
67,Titans,Jaguars,TRUE,TRUE,,,,
68,Browns,Jaguars,FALSE,TRUE,,,,
69,Steelers,Jaguars,FALSE,TRUE,,,,
70,Eagles,Jaguars,FALSE,FALSE,,,,
71,Commanders,Jaguars,FALSE,FALSE,,,,
72,Patriots,Jaguars,FALSE,TRUE,,,,
73,Colts,Texans,TRUE,TRUE,,,,
74,Jaguars,Texans,TRUE,TRUE,,,,
75,Titans,Texans,TRUE,TRUE,,,,
76,Ravens,Texans,FALSE,TRUE,,,,
77,Bengals,Texans,FALSE,TRUE,,,,
78,Cowboys,Texans,FALSE,FALSE,,,,
79,Giants,Texans,FALSE,FALSE,,,,
80,Bills,Texans,FALSE,TRUE,,,,
81,Jaguars,Colts,TRUE,TRUE,,,,
82,Texans,Colts,TRUE,TRUE,,,,
83,Titans,Colts,TRUE,TRUE,,,,
84,Ravens,Colts,FALSE,TRUE,,,,
85,Bengals,Colts,FALSE,TRUE,,,,
86,Cowboys,Colts,FALSE,FALSE,,,,
87,Giants,Colts,FALSE,FALSE,,,,
88,Dolphins,Colts,FALSE,TRUE,,,,
89,Colts,Titans,TRUE,TRUE,,,,
90,Jaguars,Titans,TRUE,TRUE,,,,
91,Texans,Titans,TRUE,TRUE,,,,
92,Browns,Titans,FALSE,TRUE,,,,
93,Steelers,Titans,FALSE,TRUE,,,,
94,Eagles,Titans,FALSE,FALSE,,,,
95,Commanders,Titans,FALSE,FALSE,,,,
96,Jets,Titans,FALSE,TRUE,,,,
97,Chargers,Broncos,TRUE,TRUE,,,,
98,Chiefs,Broncos,TRUE,TRUE,,,,
99,Raiders,Broncos,TRUE,TRUE,,,,
100,Bills,Broncos,FALSE,TRUE,,,,
101,Dolphins,Broncos,FALSE,TRUE,,,,
102,Rams,Broncos,FALSE,FALSE,,,,
103,Seahawks,Broncos,FALSE,FALSE,,,,
104,Jaguars,Broncos,FALSE,TRUE,,,,
105,Broncos,Chargers,TRUE,TRUE,,,,
106,Chiefs,Chargers,TRUE,TRUE,,,,
107,Raiders,Chargers,TRUE,TRUE,,,,
108,Patriots,Chargers,FALSE,TRUE,,,,
109,Jets,Chargers,FALSE,TRUE,,,,
110,Cardinals,Chargers,FALSE,FALSE,,,,
111,49ers,Chargers,FALSE,FALSE,,,,
112,Texans,Chargers,FALSE,TRUE,,,,
113,Broncos,Chiefs,TRUE,TRUE,,,,
114,Chargers,Chiefs,TRUE,TRUE,,,,
115,Raiders,Chiefs,TRUE,TRUE,,,,
116,Patriots,Chiefs,FALSE,TRUE,,,,
117,Jets,Chiefs,FALSE,TRUE,,,,
118,Cardinals,Chiefs,FALSE,FALSE,,,,
119,49ers,Chiefs,FALSE,FALSE,,,,
120,Colts,Chiefs,FALSE,TRUE,,,,
121,Broncos,Raiders,TRUE,TRUE,,,,
122,Chargers,Raiders,TRUE,TRUE,,,,
123,Chiefs,Raiders,TRUE,TRUE,,,,
124,Bills,Raiders,FALSE,TRUE,,,,
125,Dolphins,Raiders,FALSE,TRUE,,,,
126,Rams,Raiders,FALSE,FALSE,,,,
127,Seahawks,Raiders,FALSE,FALSE,,,,
128,Titans,Raiders,FALSE,TRUE,,,,
129,Commanders,Eagles,TRUE,TRUE,,,,
130,Cowboys,Eagles,TRUE,TRUE,,,,
131,Giants,Eagles,TRUE,TRUE,,,,
132,Rams,Eagles,FALSE,TRUE,,,,
133,Seahawks,Eagles,FALSE,TRUE,,,,
134,Texans,Eagles,FALSE,FALSE,,,,
135,Colts,Eagles,FALSE,FALSE,,,,
136,Panthers,Eagles,FALSE,TRUE,,,,
137,Steelers,Eagles,FALSE,FALSE,,,,
138,Commanders,Cowboys,TRUE,TRUE,,,,
139,Eagles,Cowboys,TRUE,TRUE,,,,
140,Giants,Cowboys,TRUE,TRUE,,,,
141,Cardinals,Cowboys,FALSE,TRUE,,,,
142,49ers,Cowboys,FALSE,TRUE,,,,
143,Titans,Cowboys,FALSE,FALSE,,,,
144,Jaguars,Cowboys,FALSE,FALSE,,,,
145,Buccaneers,Cowboys,FALSE,TRUE,,,,
146,Ravens,Cowboys,FALSE,FALSE,,,,
147,Cowboys,Commanders,TRUE,TRUE,,,,
148,Eagles,Commanders,TRUE,TRUE,,,,
149,Giants,Commanders,TRUE,TRUE,,,,
150,Rams,Commanders,FALSE,TRUE,,,,
151,Seahawks,Commanders,FALSE,TRUE,,,,
152,Texans,Commanders,FALSE,FALSE,,,,
153,Colts,Commanders,FALSE,FALSE,,,,
154,Falcons,Commanders,FALSE,TRUE,,,,
