Team,Player,Position,Starter
Eagles,Tanner McKee,QB,
Eagles,Carson Steele,RB,
Eagles,Dameon Pierce,RB,
Eagles,Tank Bigsby,RB,
Eagles,Will Shipley,RB,
Eagles,Andre' Sam,S,
Eagles,Brandon Johnson,S,
Eagles,J.T. Gray,S,
Eagles,Michael Carter II,S,
Eagles,E.J. Jenkins,TE,
Eagles,Grant Calcaterra,TE,
Eagles,Jaheim Bell,TE,
Eagles,Johnny Mundt,TE,
Eagles,Stone Smartt,TE,
Eagles,Britain Covey,WR,
Eagles,Danny Gray,WR,
Eagles,Darius Cooper,WR,
Eagles,Elijah Moore,WR,
Eagles,Johnny Wilson,WR,
Eagles,Quez Watkins,WR,
Falcons,A.J. Terrell Jr.,CB,TRUE
Falcons,Mike Hughes,CB,TRUE
Falcons,Ruke Orhorhoro,DT,TRUE
Falcons,Brandon Dorlus,ED,TRUE
Falcons,Jalon Walker,ED,TRUE
Falcons,James Pearce Jr.,ED,TRUE
Falcons,Zach Harrison,ED,TRUE
Falcons,Chris Lindstrom,IOL,TRUE
Falcons,Matthew Bergeron,IOL,TRUE
Falcons,Ryan Neuzil,IOL,TRUE
Falcons,Christian Harris,LB,TRUE
Falcons,Divine Deablo,LB,TRUE
Falcons,Jake Matthews,OT,TRUE
Falcons,Kaleb McGary,OT,TRUE
Falcons,Michael Penix Jr.,QB,TRUE
Falcons,Bijan Robinson,RB,TRUE
Falcons,Billy Bowman Jr.,S,TRUE
Falcons,Jessie Bates III,S,TRUE
Falcons,Xavier Watts,S,TRUE
Falcons,Kyle Pitts Sr.,TE,TRUE
Falcons,Drake London,WR,TRUE
Falcons,Jahan Dotson,WR,TRUE
Falcons,Olamide Zaccheaus,WR,TRUE
Falcons,A.J. Woods,CB,
Falcons,C.J. Henderson,CB,
Falcons,Clark Phillips III,CB,
Falcons,Cobee Bryant,CB,
Falcons,Darnay Holmes,CB,
Falcons,Mike Ford Jr.,CB,
Falcons,Natrone Brooks,CB,
Falcons,LaCale London,DT,
Falcons,Azeez Ojulari,ED,
Falcons,Ben Stille,ED,
Falcons,Bralen Trice,ED,
Falcons,Cameron Thomas,ED,
Falcons,Chris Williams,ED,
Falcons,Da'Shawn Hand,ED,
Falcons,Elijah Garcia,ED,
Falcons,Samson Ebukam,ED,
Falcons,Andrew Stueber,IOL,
Falcons,Corey Levin,IOL,
Falcons,Kyle Hinton,IOL,
Falcons,Nick Folk,K,
Falcons,Channing Tindall,LB,
Falcons,JD Bertrand,LB,
Falcons,Malik Verdon,LB,
Falcons,Troy Andersen,LB,
Falcons,Liam McCullough,LS,
Falcons,Jack Nelson,OT,
Falcons,Michael Jerrell,OT,
Falcons,Storm Norton,OT,
Falcons,Jake Bailey,P,
Falcons,Trenton Gill,P,
Falcons,Trevor Siemian,QB,
Falcons,Tua Tagovailoa,QB,
Falcons,Brian Robinson Jr.,RB,
Falcons,Carlos Washington Jr.,RB,
Falcons,Nathan Carter,RB,
Falcons,Tyler Goodson,RB,
Falcons,DeMarcco Hellams,S,
Falcons,Jammie Robinson,S,
Falcons,Sydney Brown,S,
Falcons,Tysheem Johnson,S,
Falcons,Austin Hooper,TE,
Falcons,Charlie Woerner,TE,
Falcons,Joshua Simon,TE,
Falcons,Casey Washington,WR,
Falcons,Chris Blair,WR,
Falcons,Deven Thompkins,WR,
Falcons,Dylan Drummond,WR,
Giants,Dru Phillips,CB,TRUE
Giants,Greg Newsome II,CB,TRUE
Giants,Paulson Adebo,CB,TRUE
Giants,Dexter Lawrence II,DT,TRUE
Giants,Roy Robertson-Harris,DT,TRUE
Giants,Abdul Carter,ED,TRUE
Giants,Brian Burns,ED,TRUE
Giants,Aaron Stinnie,IOL,TRUE
Giants,John Michael Schmitz Jr.,IOL,TRUE
Giants,Jon Runyan,IOL,TRUE
Giants,Micah McFadden,LB,TRUE
Giants,Tremaine Edmunds,LB,TRUE
Giants,Andrew Thomas,OT,TRUE
Giants,Jermaine Eluemunor,OT,TRUE
Giants,Jaxson Dart,QB,TRUE
Giants,Cam Skattebo,RB,TRUE
Giants,Jevón Holland,S,TRUE
Giants,Tyler Nubin,S,TRUE
Giants,Isaiah Likely,TE,TRUE
Giants,Darius Slayton,WR,TRUE
Giants,Darnell Mooney,WR,TRUE
Giants,Malik Nabers,WR,TRUE
Giants,Art Green,CB,
Giants,Deonte Banks,CB,
Giants,Jarrick Bernard-Converse,CB,
Giants,Korie Black,CB,
Giants,Myles Purchase,CB,
Giants,Nic Jones,CB,
Giants,Rico Payton,CB,
Giants,TJ Moore,CB,
Giants,Darius Alexander,DT,
Giants,Elijah Chatman,DT,
Giants,Marlon Tuipulotu,DT,
Giants,Sam Roberts,DT,
Giants,Caleb Murphy,ED,
Giants,Chauncey Golston,ED,
Giants,DeMarvin Leal,ED,
Giants,Kayvon Thibodeaux,ED,
Giants,Trace Ford,ED,
Giants,Patrick Ricard,FB,
Giants,Bryan Hudson,IOL,
Giants,Evan Neal,IOL,
Giants,Jake Kubas,IOL,
Giants,Ben Sauls,K,
Giants,Graham Gano,K,
Giants,Jason Sanders,K,
Giants,Cam Jones,LB,
Giants,Darius Muasau,LB,
Giants,Swayze Bozeman,LB,
Giants,Zaire Barnes,LB,
Giants,Zach Triner,LS,
Giants,Joshua Ezeudu,IOL,
Giants,Marcus Mbow,OT,
Giants,Reid Holskey,OT,
Giants,Jordan Stout,P,
Giants,Jameis Winston,QB,
Giants,Dante Miller,RB,
Giants,Devin Singletary,RB,
Giants,Eric Gray,RB,
Giants,Tyrone Tracy Jr.,RB,
Giants,Ar'Darius Washington,S,
Giants,Beau Brade,S,
Giants,Elijah Campbell,S,
Giants,Jason Pinnock,S,
Giants,Patrick McMorris,S,
Giants,Raheem Layne,S,
Giants,Chris Manhertz,TE,
Giants,Tanner Conner,TE,
Giants,Theo Johnson,TE,
Giants,Thomas Fidone II,TE,
Giants,Beaux Collins,WR,
Giants,Calvin Austin III,WR,
Giants,Courtney Jackson,WR,
Giants,Da'Quan Felton,WR,
Giants,Dalen Cambre,WR,
Giants,Gunner Olszewski,WR,
Giants,Isaiah Hodgins,WR,
Giants,Jalin Hyatt,WR,
Giants,Ryan Miller,WR,
Giants,Xavier Gipson,WR,
Jaguars,Jourdan Lewis,CB,TRUE
Jaguars,Montaric Brown,CB,TRUE
Jaguars,Travis Hunter,CB,TRUE
Jaguars,Arik Armstead,DT,TRUE
Jaguars,DaVon Hamilton,DT,TRUE
Jaguars,Josh Hines-Allen,ED,TRUE
Jaguars,Travon Walker,ED,TRUE
Jaguars,Ezra Cleveland,IOL,TRUE
Jaguars,Patrick Mekari,IOL,TRUE
Jaguars,Robert Hainsey,IOL,TRUE
Jaguars,Foyesade Oluokun,LB,TRUE
Jaguars,Ventrell Miller,LB,TRUE
Jaguars,Cole Van Lanen,OT,TRUE
Jaguars,Anton Harrison,OT,TRUE
Jaguars,Trevor Lawrence,QB,TRUE
Jaguars,Bhayshul Tuten,RB,TRUE
Jaguars,Antonio Johnson,S,TRUE
Jaguars,Eric Murray,S,TRUE
Jaguars,Brenton Strange,TE,TRUE
Jaguars,Brian Thomas Jr.,WR,TRUE
Jaguars,Jakobi Meyers,WR,TRUE
Jaguars,Parker Washington,WR,TRUE
Jaguars,Christian Braswell,CB,
Jaguars,Jabbar Muhammad,CB,
Jaguars,Jarrian Jones,CB,
Jaguars,Keith Taylor,CB,
Jaguars,Keni-H Lovely,CB,
Jaguars,Keivie Rose,DT,
Jaguars,Maason Smith,DT,
Jaguars,Matt Dickerson,DT,
Jaguars,B.J. Green II,ED,
Jaguars,Danny Striggow,ED,
Jaguars,Cooper Hodges,IOL,
Jaguars,Jerome Carvin,IOL,
Jaguars,Jonah Monheim,IOL,
Jaguars,Sal Wormley,IOL,
Jaguars,Cam Little,K,
Jaguars,Branson Combs,LB,
Jaguars,Dennis Gardeck,LB,
Jaguars,Jack Kiser,LB,
Jaguars,Jalen McLeod,LB,
Jaguars,Yasir Abdullah,LB,
Jaguars,Ross Matiscik,LS,
Jaguars,Chuma Edoga,IOL,
Jaguars,Walker Little,IOL,
Jaguars,Wyatt Milum,IOL,
Jaguars,Kilian Zierer,OT,
Jaguars,Ricky Lee,OT,
Jaguars,Logan Cooke,P,
Jaguars,Carter Bradley,QB,
Jaguars,Nick Mullens,QB,
Jaguars,Chris Rodriguez Jr.,RB,
Jaguars,DeeJay Dallas,RB,
Jaguars,Ja'Quinden Jackson,RB,
Jaguars,LeQuint Allen Jr.,RB,
Jaguars,Caleb Ransaw,S,
Jaguars,Cam'Ron Silmon-Craig,S,
Jaguars,Rayuan Lane III,S,
Jaguars,Trevian Thomas,S,
Jaguars,Hunter Long,TE,
Jaguars,Patrick Herbert,TE,
Jaguars,Quintin Morris,TE,
Jaguars,Austin Trammell,WR,
Jaguars,Chandler Brayboy,WR,
Jaguars,Tim Jones,WR,
Jets,Brandon Stephens,CB,TRUE
Jets,Jarvis Brownlee Jr.,CB,TRUE
Jets,Nahshon Wright,CB,TRUE
Jets,David Onyemata,DT,TRUE
Jets,T'Vondre Sweat,DT,TRUE
Jets,Harrison Phillips,ED,TRUE
Jets,Joseph Ossai,ED,TRUE
Jets,Will McDonald IV,ED,TRUE
Jets,Dylan Parham,IOL,TRUE
Jets,Joe Tippmann,IOL,TRUE
Jets,Josh Myers,IOL,TRUE
Jets,Demario Davis,LB,TRUE
Jets,Jamien Sherwood,LB,TRUE
Jets,Armand Membou,OT,TRUE
Jets,Olu Fashanu,OT,TRUE
Jets,Geno Smith,QB,TRUE
Jets,Breece Hall,RB,TRUE
Jets,Malachi Moore,S,TRUE
Jets,Minkah Fitzpatrick,S,TRUE
Jets,Mason Taylor,TE,TRUE
Jets,Adonai Mitchell,WR,TRUE
Jets,Garrett Wilson,WR,TRUE
Jets,Isaiah Williams,WR,TRUE
Jets,Azareye'h Thomas,CB,
Jets,Jordan Clark,CB,
Jets,Qwan'tez Stiggers,CB,
Jets,Samuel Womack III,CB,
Jets,Tre Brown,CB,
Jets,Jack Heflin,DT,
Jets,Mazi Smith,DT,
Jets,Payton Page,DT,
Jets,Braiden McGregor,ED,
Jets,Eric Watts,ED,
Jets,Jowon Briggs,ED,
Jets,Kingsley Enagbare,ED,
Jets,Kingsley Jonathan,ED,
Jets,Ochaun Mathis,ED,
Jets,Paschal Ekeji,ED,
Jets,Tyler Baron,ED,
Jets,Andrew Beck,FB,
Jets,Gus Hartwig,IOL,
Jets,Kohl Levao,IOL,
Jets,Liam Fornadel,IOL,
Jets,Marquis Hayes,IOL,
Jets,Xavier Newman,IOL,
Jets,Cade York,K,
Jets,Lenny Krieg,K,
Jets,Kiko Mauigoa,LB,
Jets,Kobe King,LB,
Jets,Marcelino McCrary-Ball,LB,
Jets,Mykal Walker,LB,
Jets,Thomas Hennessy,LS,
Jets,Max Mitchell,IOL,
Jets,Chukwuma Okorafor,OT,
Jets,Austin McNamara,P,
Jets,Bailey Zappe,QB,
Jets,Brady Cook,QB,
Jets,Braelon Allen,RB,
Jets,Isaiah Davis,RB,
Jets,Kene Nwangwu,RB,
Jets,Andre Cisco,S,
Jets,Chris Smith II,S,
Jets,Dane Belton,S,
Jets,Dean Clark,S,
Jets,Jarius Monroe,S,
Jets,Keidron Smith,S,
Jets,Jelani Woods,TE,
Jets,Jeremy Ruckert,TE,
Jets,Arian Smith,WR,
Jets,Irvin Charles,WR,
Jets,Jamaal Pritchett,WR,
Jets,Mac Dalena,WR,
Jets,Quentin Skinner,WR,
Lions,D.J. Reed,CB,TRUE
Lions,Terrion Arnold,CB,TRUE
Lions,Alim McNeill,DT,TRUE
Lions,Tyleik Williams,DT,TRUE
Lions,Aidan Hutchinson,ED,TRUE
Lions,D.J. Wonnum,ED,TRUE
Lions,Cade Mays,IOL,TRUE
Lions,Christian Mahogany,IOL,TRUE
Lions,Tate Ratledge,IOL,TRUE
Lions,Derrick Barnes,LB,TRUE
Lions,Jack Campbell,LB,TRUE
Lions,Malcolm Rodriguez,LB,TRUE
Lions,Larry Borom,OT,TRUE
Lions,Penei Sewell,OT,TRUE
Lions,Jared Goff,QB,TRUE
Lions,Jahmyr Gibbs,RB,TRUE
Lions,Brian Branch,S,TRUE
Lions,Kerby Joseph,S,TRUE
Lions,Sam LaPorta,TE,TRUE
Lions,Amon-Ra St. Brown,WR,TRUE
Lions,Isaac TeSlaa,WR,TRUE
Lions,Jameson Williams,WR,TRUE
Lions,Ennis Rakestraw Jr.,CB,
Lions,Khalil Dorsey,CB,
Lions,Nick Whiteside,CB,
Lions,Rock Ya-Sin,CB,
Lions,Roger McCreary,CB,
Lions,Chris Smith,DT,
Lions,Levi Onwuzurike,DT,
Lions,Mekhi Wingo,DT,
Lions,Myles Adams,DT,
Lions,Ahmed Hassanein,ED,
Lions,Payton Turner,ED,
Lions,Tyler Lacy,ED,
Lions,Zach Horton,FB,
Lions,Ben Bartch,IOL,
Lions,Juice Scruggs,IOL,
Lions,Michael Niese,IOL,
Lions,Seth McLaughlin,IOL,
Lions,Jake Bates,K,
Lions,Damone Clark,LB,
Lions,Trevor Nowaske,LB,
Lions,Hogan Hatten,LS,
Lions,Colby Sorsdal,IOL,
Lions,Mason Miller,IOL,
Lions,Miles Frazier,IOL,
Lions,Devin Cochran,OT,
Lions,Giovanni Manu,OT,
Lions,Jack Fox,P,
Lions,Teddy Bridgewater,QB,
Lions,Isiah Pacheco,RB,
Lions,Jabari Small,RB,
Lions,Jacob Saylors,RB,
Lions,Kye Robichaux,RB,
Lions,Sione Vaki,RB,
Lions,Christian Izien,S,
Lions,Dan Jackson,S,
Lions,Loren Strickland,S,
Lions,Thomas Harper,S,
Lions,Brock Wright,TE,
Lions,Thomas Gordon,TE,
Lions,Tyler Conklin,TE,
Lions,Dominic Lovett,WR,
Lions,Greg Dortch,WR,
Lions,Jackson Meeks,WR,
Lions,Malik Cunningham,WR,
Lions,Tom Kennedy,WR,
Packers,Carrington Valentine,CB,TRUE
Packers,Keisean Nixon,CB,TRUE
Packers,Devonte Wyatt,DT,TRUE
Packers,Javon Hargrave,DT,TRUE
Packers,Lukas Van Ness,ED,TRUE
Packers,Micah Parsons,ED,TRUE
Packers,Aaron Banks,IOL,TRUE
Packers,Sean Rhyan,IOL,TRUE
Packers,Edgerrin Cooper,LB,TRUE
Packers,Zaire Franklin,LB,TRUE
Packers,Anthony Belton,IOL,TRUE
Packers,Jordan Morgan,IOL,TRUE
Packers,Zach Tom,OT,TRUE
Packers,Jordan Love,QB,TRUE
Packers,Josh Jacobs,RB,TRUE
Packers,Evan Williams,S,TRUE
Packers,Javon Bullard,S,TRUE
Packers,Xavier McKinney,S,TRUE
Packers,Tucker Kraft,TE,TRUE
Packers,Christian Watson,WR,TRUE
Packers,Jayden Reed,WR,TRUE
Packers,Matthew Golden,WR,TRUE
Packers,Benjamin St-Juste,CB,
Packers,Bo Melton,CB,
Packers,Jaylin Simpson,CB,
Packers,Kamal Hadden,CB,
Packers,Shemar Bartholomew,CB,
Packers,Tyron Herring,CB,
Packers,Anthony Campbell,DT,
Packers,Dante Barnett,DT,
Packers,Jaden Crumedy,DT,
Packers,James Ester,DT,
Packers,Jonathan Ford,DT,
Packers,Jordon Riley,DT,
Packers,Karl Brooks,DT,
Packers,Nazir Stackhouse,DT,
Packers,Warren Brinson,DT,
Packers,Arron Mosby,ED,
Packers,Barryn Sorrell,ED,
Packers,Brenton Cox Jr.,ED,
Packers,Collin Oliver,ED,
Packers,Jacob Monk,IOL,
Packers,Karsen Barnhart,IOL,
Packers,Brandon McManus,K,
Packers,Lucas Havrisik,K,
Packers,Isaiah McDuffie,LB,
Packers,Jamon Johnson,LB,
Packers,Kristian Welch,LB,
Packers,Nick Niemann,LB,
Packers,Ty'Ron Hopper,LB,
Packers,Matt Orzech,LS,
Packers,Dalton Cooper,IOL,
Packers,Darian Kinnard,IOL,
Packers,Donovan Jennings,IOL,
Packers,John Williams,IOL,
Packers,Brant Banks,OT,
Packers,Travis Glover,OT,
Packers,Daniel Whelan,P,
Packers,Desmond Ridder,QB,
Packers,Kyle McCord,QB,
Packers,Chris Brooks,RB,
Packers,Damien Martinez,RB,
Packers,MarShawn Lloyd,RB,
Packers,Pierre Strong Jr.,RB,
Packers,Johnathan Baldwin,S,
Packers,Kitan Oladapo,S,
Packers,Mark Perry,S,
Packers,Drake Dabney,TE,
Packers,Josh Whyle,TE,
Packers,Luke Musgrave,TE,
Packers,McCallan Castles,TE,
Packers,Messiah Swinson,TE,
Packers,Dontayvion Wicks,WR,
Packers,Isaiah Neyor,WR,
Packers,Jakobie Keeney-James,WR,
Packers,Savion Williams,WR,
Packers,Skyy Moore,WR,
Packers,Will Sheppard,WR,
Panthers,Chau Smith-Wade,CB,TRUE
Panthers,Jaycee Horn,CB,TRUE
Panthers,Mike Jackson,CB,TRUE
Panthers,Bobby Brown III,DT,TRUE
Panthers,Derrick Brown,ED,TRUE
Panthers,Jaelan Phillips,ED,TRUE
Panthers,Nic Scourton,ED,TRUE
Panthers,Tershawn Wharton,ED,TRUE
Panthers,Nick Scott,S,TRUE
Panthers,Damien Lewis,IOL,TRUE
Panthers,Luke Fortner,IOL,TRUE
Panthers,Robert Hunt,IOL,TRUE
Panthers,Devin Lloyd,LB,TRUE
Panthers,Trevin Wallace,LB,TRUE
Panthers,Ikem Ekwonu,OT,TRUE
Panthers,Taylor Moton,OT,TRUE
Panthers,Bryce Young,QB,TRUE
Panthers,Chuba Hubbard,RB,TRUE
Panthers,Tre'von Moehrig,S,TRUE
Panthers,Tommy Tremble,TE,TRUE
Panthers,Jalen Coker,WR,TRUE
Panthers,Tetairoa McMillan,WR,TRUE
Panthers,Xavier Legette,WR,TRUE
Panthers,Akayleb Evans,CB,
Panthers,Corey Thornton,CB,
Panthers,Michael Reid,CB,
Panthers,Robert Rochell,CB,
Panthers,Tyrek Funderburk,CB,
Panthers,Cam Jackson,DT,
Panthers,Jamil Muhammad,ED,
Panthers,Jared Harrison-Hunte,ED,
Panthers,LaBryan Ray,ED,
Panthers,Nick Hampton,ED,
Panthers,Patrick Jones II,ED,
Panthers,Princely Umanmielen,ED,
Panthers,Thomas Incoom,ED,
Panthers,Trevis Gipson,ED,
Panthers,Chandler Zavala,IOL,
Panthers,Ja'Tyre Carter,IOL,
Panthers,Joshua Gray,IOL,
Panthers,Nick Samac,IOL,
Panthers,Saahdiq Charles,IOL,
Panthers,Ryan Fitzgerald,K,
Panthers,Bam Martin-Scott,LB,
Panthers,Claudin Cherelus,LB,
Panthers,Jacoby Windmon,LB,
Panthers,Jared Bartlett,LB,
Panthers,Maema Njongmeta,LB,
Panthers,Mapalo Mwansa,LB,
Panthers,JJ Jansen,LS,
Panthers,Rasheed Walker,OT,
Panthers,Stone Forsythe,OT,
Panthers,Sam Martin,P,
Panthers,Kenny Pickett,QB,
Panthers,AJ Dillon,RB,
Panthers,Anthony Tyus III,RB,
Panthers,Jonathon Brooks,RB,
Panthers,Montrell Johnson Jr.,RB,
Panthers,Trevor Etienne,RB,
Panthers,Demani Richardson,S,
Panthers,Isaiah Simmons,S,
Panthers,Lathan Ransom,S,
Panthers,Bryce Pierre,TE,
Panthers,Feleipe Franks,TE,
Panthers,Ja'Tavion Sanders,TE,
Panthers,James Mitchell,TE,
Panthers,Mitchell Evans,TE,
Panthers,Ainias Smith,WR,
Panthers,Brycen Tremayne,WR,
Panthers,Dan Chisena,WR,
Panthers,David Moore,WR,
Panthers,Ja'seem Reed,WR,
Panthers,Jimmy Horn Jr.,WR,
Panthers,John Metchie III,WR,
Patriots,Carlton Davis III,CB,TRUE
Patriots,Christian Gonzalez,CB,TRUE
Patriots,Marcus Jones,CB,TRUE
Patriots,Cory Durden,DT,TRUE
Patriots,Christian Barmore,ED,TRUE
Patriots,Dre'Mont Jones,ED,TRUE
Patriots,Harold Landry III,ED,TRUE
Patriots,Milton Williams,ED,TRUE
Patriots,Alijah Vera-Tucker,IOL,TRUE
Patriots,Jared Wilson,IOL,TRUE
Patriots,Christian Elliss,LB,TRUE
Patriots,Robert Spillane,LB,TRUE
Patriots,Mike Onwenu,IOL,TRUE
Patriots,Morgan Moses,OT,TRUE
Patriots,Will Campbell,OT,TRUE
Patriots,Drake Maye,QB,TRUE
Patriots,Rhamondre Stevenson,RB,TRUE
Patriots,Kevin Byard,S,TRUE
Patriots,Hunter Henry,TE,TRUE
Patriots,Kayshon Boutte,WR,TRUE
Patriots,Mack Hollins,WR,TRUE
Patriots,Romeo Doubs,WR,TRUE
Patriots,Brandon Crossley,CB,
Patriots,Charles Woods,CB,
Patriots,Kindle Vildor,CB,
Patriots,Kobee Minor,CB,
Patriots,Marcellas Dial Jr.,CB,
Patriots,Eric Gregory,DT,
Patriots,Bradyn Swinson,ED,
Patriots,Elijah Ponder,ED,
Patriots,Jeremiah Pharms Jr.,ED,
Patriots,Jesse Luketa,ED,
Patriots,Joshua Farmer,ED,
Patriots,Leonard Taylor III,ED,
Patriots,Brock Lampe,FB,
Patriots,Jack Westover,FB,
Patriots,Reggie Gilliam,FB,
Patriots,Andrew Rupcich,IOL,
Patriots,Ben Brown,IOL,
Patriots,Mehki Butler,IOL,
Patriots,Andy Borregales,K,
Patriots,Amari Gainer,LB,
Patriots,Chad Muma,LB,
Patriots,K.J. Britt,LB,
Patriots,Marte Mapu,LB,
Patriots,Otis Reese,LB,
Patriots,Julian Ashby,LS,
Patriots,Niko Lalos,LS,
Patriots,Caedan Wallace,IOL,
Patriots,James Hudson III,OT,
Patriots,Lorenz Metz,OT,
Patriots,Marcus Bryant,OT,
Patriots,Sebastian Gutierrez,OT,
Patriots,Bryce Baringer,P,
Patriots,Tommy DeVito,QB,
Patriots,Elijah Mitchell,RB,
Patriots,Lan Larison,RB,
Patriots,Terrell Jennings,RB,
Patriots,TreVeyon Henderson,RB,
Patriots,Brenden Schooler,S,
Patriots,Craig Woodson,S,
Patriots,Dell Pettus,S,
Patriots,John Saunders Jr.,S,
Patriots,Mike Brown,S,
Patriots,CJ Dippre,TE,
Patriots,Julian Hill,TE,
Patriots,Marshall Lang,TE,
Patriots,DeMario Douglas,WR,
Patriots,Efton Chism III,WR,
Patriots,Jeremiah Webb,WR,
Patriots,John Jiles,WR,
Patriots,Kyle Williams,WR,
Raiders,Darien Porter,CB,TRUE
Raiders,Eric Stokes,CB,TRUE
Raiders,Taron Johnson,CB,TRUE
Raiders,Adam Butler,DT,TRUE
Raiders,Jonah Laulu,DT,TRUE
Raiders,Kwity Paye,ED,TRUE
Raiders,Maxx Crosby,ED,TRUE
Raiders,Tyree Wilson,ED,TRUE
Raiders,Jackson Powers-Johnson,IOL,TRUE
Raiders,Spencer Burford,IOL,TRUE
Raiders,Tyler Linderbaum,IOL,TRUE
Raiders,Nakobe Dean,LB,TRUE
Raiders,Quay Walker,LB,TRUE
Raiders,DJ Glaze,OT,TRUE
Raiders,Kolton Miller,OT,TRUE
Raiders,Kirk Cousins,QB,TRUE
Raiders,Ashton Jeanty,RB,TRUE
Raiders,Isaiah Pola-Mao,S,TRUE
Raiders,Jeremy Chinn,S,TRUE
Raiders,Brock Bowers,TE,TRUE
Raiders,Jack Bech,WR,TRUE
Raiders,Jalen Nailor,WR,TRUE
Raiders,Tre Tucker,WR,TRUE
Raiders,Aidan O'Connell,QB,
Raiders,Chigozie Anusiem,CB,
Raiders,Decamerion Richardson,CB,
Raiders,Greedy Vance,CB,
Raiders,Brodric Martin,DT,
Raiders,JJ Pegues,DT,
Raiders,Thomas Booker IV,DT,
Raiders,Treven Ma'ae,DT,
Raiders,Brennan Jackson,ED,
Raiders,Charles Snowden,ED,
Raiders,Jahfari Harvey,ED,
Raiders,Malcolm Koonce,ED,
Raiders,Tonka Hemingway,ED,
Raiders,Connor Heyward,FB,
Raiders,Atonio Mafi,IOL,
Raiders,Caleb Rogers,IOL,
Raiders,Jordan Meredith,IOL,
Raiders,Laki Tasi,IOL,
Raiders,Layden Robinson,IOL,
Raiders,McClendon Curtis,IOL,
Raiders,Will Putnam,IOL,
Raiders,Matt Gay,K,
Raiders,Cody Lindenberg,LB,
Raiders,Jamin Davis,LB,
Raiders,Segun Olubi,LB,
Raiders,Tommy Eichenberg,LB,
Raiders,Alex Ward,LS,
Raiders,Charles Grant,OT,
Raiders,Dalton Wagner,OT,
Raiders,Joshua Miles,OT,
Raiders,AJ Cole,P,
Raiders,Chris Collier,RB,
Raiders,Dylan Laube,RB,
Raiders,Tristin McCollum,S,
Raiders,Albert Okwuegbunam Jr.,TE,
Raiders,Carter Runyon,TE,
Raiders,Michael Mayer,TE,
Raiders,Brenden Rice,WR,
Raiders,Dareke Young,WR,
Raiders,Dont'e Thornton Jr.,WR,
Raiders,Justin Shorter,WR,
Raiders,Phillip Dorsett II,WR,
Raiders,Shedrick Jackson,WR,
Rams,Jaylen Watson,CB,TRUE
Rams,Trent McDuffie,CB,TRUE
Rams,Kobie Turner,DT,TRUE
Rams,Poona Ford,DT,TRUE
Rams,Braden Fiske,ED,TRUE
Rams,Byron Young,ED,TRUE
Rams,Jared Verse,ED,TRUE
Rams,Coleman Shelton,IOL,TRUE
Rams,Kevin Dotson,IOL,TRUE
Rams,Steve Avila,IOL,TRUE
Rams,Nate Landman,LB,TRUE
Rams,Omar Speights,LB,TRUE
Rams,Alaric Jackson,OT,TRUE
Rams,Warren McClendon Jr.,OT,TRUE
Rams,Matthew Stafford,QB,TRUE
Rams,Kyren Williams,RB,TRUE
Rams,Kam Curl,S,TRUE
Rams,Kamren Kinchens,S,TRUE
Rams,Quentin Lake,S,TRUE
Rams,Colby Parkinson,TE,TRUE
Rams,Davante Adams,WR,TRUE
Rams,Jordan Whittington,WR,TRUE
Rams,Puka Nacua,WR,TRUE
Rams,Alex Johnson,CB,
Rams,Cam Lampkin,CB,
Rams,Emmanuel Forbes Jr.,CB,
Rams,Josh Wallace,CB,
Rams,Bill Norton,DT,
Rams,Larrell Murchison,DT,
Rams,Ty Hamilton,DT,
Rams,Tyler Davis,DT,
Rams,Desjuan Johnson,ED,
Rams,Josaiah Stewart,ED,
Rams,Keir Thomas II,ED,
Rams,Beaux Limmer,IOL,
Rams,Dylan McMahon,IOL,
Rams,Justin Dedich,IOL,
Rams,Wyatt Bowles,IOL,
Rams,Harrison Mevis,K,
Rams,Elias Neal,LB,
Rams,Grant Stuard,LB,
Rams,Shaun Dolac,LB,
Rams,Joe Cardona,LS,
Rams,AJ Arcuri,OT,
Rams,David Quessenberry,OT,
Rams,Ethan Evans,P,
Rams,Stetson Bennett IV,QB,
Rams,Blake Corum,RB,
Rams,Jarquez Hunter,RB,
Rams,Jordan Waters,RB,
Rams,Ronnie Rivers,RB,
Rams,Jaylen McCollough,S,
Rams,Nate Valcarcel,S,
Rams,Tanner Ingle,S,
Rams,Davis Allen,TE,
Rams,Mark Redman,TE,
Rams,Terrance Ferguson,TE,
Rams,Tyler Higbee,TE,
Rams,Brennan Presley,WR,
Rams,Konata Mumpfield,WR,
Rams,Mario Williams,WR,
Rams,Tru Edwards,WR,
Rams,Tyler Scott,WR,
Rams,Xavier Smith,WR,
Ravens,Chidobe Awuzie,CB,TRUE
Ravens,Marlon Humphrey,CB,TRUE
Ravens,Nate Wiggins,CB,TRUE
Ravens,Broderick Washington Jr.,DT,TRUE
Ravens,Travis Jones,DT,TRUE
Ravens,Nnamdi Madubuike,ED,TRUE
Ravens,Tavius Robinson,ED,TRUE
Ravens,Trey Hendrickson,ED,TRUE
Ravens,Andrew Vorhees,IOL,TRUE
Ravens,Corey Bullock,IOL,TRUE
Ravens,John Simpson,IOL,TRUE
Ravens,Roquan Smith,LB,TRUE
Ravens,Teddye Buchanan,LB,TRUE
Ravens,Roger Rosengarten,OT,TRUE
Ravens,Ronnie Stanley,OT,TRUE
Ravens,Lamar Jackson,QB,TRUE
